active_date,skill_name,job_count
2022-01-10,MS SQL,1
2022-01-10,Kubernetes,1
2022-01-10,Google Cloud,1
2022-01-10,Docker,1
2022-01-10,PySpark,1
2022-01-10,Shell Scripting,1
2022-01-11,SQL,35
2022-01-11,Python,16
2022-01-11,Java,9
2022-01-11,English,9
2022-01-11,Big Data,6
2022-01-11,Spark,5
2022-01-11,AWS,5
2022-01-11,R,5
2022-01-11,Scala,4
2022-01-11,Excel,3
2022-01-11,Google Tag Manager,3
2022-01-11,Google Analytics,3
2022-01-11,Data,3
2022-01-11,Kafka,3
2022-01-11,Data modeling,3
2022-01-11,Tableau,2
2022-01-11,Kotlin,2
2022-01-11,Hadoop,2
2022-01-11,Data analysis,2
2022-01-11,MS Excel,2
2022-01-11,SAS,2
2022-01-11,powerPoint,2
2022-01-11,SD-WAN,1
2022-01-11,Riverbeds,1
2022-01-11,Packeteers,1
2022-01-11,Hive,1
2022-01-11,Google Sheets,1
2022-01-11,Cloud,1
2022-01-11,Enterprise Architect,1
2022-01-11,BPMN,1
2022-01-11,UML,1
2022-01-11,Azure,1
2022-01-11,Amazon AWS,1
2022-01-11,Hadoop or Cloud solutions,1
2022-01-11,NIFI,1
2022-01-11,Unix / Linux scripting,1
2022-01-11,Relational databases / SQL,1
2022-01-11,Azure / AWS / GCP,1
2022-01-11,UNIX/LINUX,1
2022-01-11,Apache Big Data Stack,1
2022-01-11,GCP,1
2022-01-11,Python/SAS,1
2022-01-11,Linux,1
2022-01-11,ETL,1
2022-01-11,RDBMS,1
2022-01-11,MS SQL,1
2022-01-11,Kubernetes,1
2022-01-11,Google Cloud,1
2022-01-11,Docker,1
2022-01-11,PySpark,1
2022-01-11,Shell Scripting,1
2022-01-12,SQL,37
2022-01-12,Python,19
2022-01-12,Java,9
2022-01-12,English,9
2022-01-12,Big Data,8
2022-01-12,Spark,7
2022-01-12,AWS,5
2022-01-12,Kafka,5
2022-01-12,R,5
2022-01-12,Scala,4
2022-01-12,Excel,3
2022-01-12,Google Tag Manager,3
2022-01-12,Google Analytics,3
2022-01-12,Data,3
2022-01-12,Hadoop,3
2022-01-12,Data modeling,3
2022-01-12,Tableau,2
2022-01-12,Kotlin,2
2022-01-12,Data analysis,2
2022-01-12,MS Excel,2
2022-01-12,ETL,2
2022-01-12,SAS,2
2022-01-12,Linux,2
2022-01-12,powerPoint,2
2022-01-12,SD-WAN,1
2022-01-12,Riverbeds,1
2022-01-12,Packeteers,1
2022-01-12,Hive,1
2022-01-12,Google Sheets,1
2022-01-12,Cloud,1
2022-01-12,Enterprise Architect,1
2022-01-12,BPMN,1
2022-01-12,UML,1
2022-01-12,Azure,1
2022-01-12,Amazon AWS,1
2022-01-12,Hadoop or Cloud solutions,1
2022-01-12,NIFI,1
2022-01-12,Unix / Linux scripting,1
2022-01-12,Relational databases / SQL,1
2022-01-12,Azure / AWS / GCP,1
2022-01-12,UNIX/LINUX,1
2022-01-12,Apache Big Data Stack,1
2022-01-12,GCP,1
2022-01-12,Python/SAS,1
2022-01-12,RDBMS,1
2022-01-12,MS SQL,1
2022-01-12,Kubernetes,1
2022-01-12,Google Cloud,1
2022-01-12,Docker,1
2022-01-12,PySpark,1
2022-01-12,Bash,1
2022-01-12,OpenShift,1
2022-01-12,Shell Scripting,1
2022-01-13,SQL,37
2022-01-13,Python,19
2022-01-13,Java,9
2022-01-13,Big Data,8
2022-01-13,English,8
2022-01-13,Spark,7
2022-01-13,AWS,5
2022-01-13,Kafka,5
2022-01-13,R,5
2022-01-13,Scala,4
2022-01-13,Google Tag Manager,3
2022-01-13,Google Analytics,3
2022-01-13,Data,3
2022-01-13,Hadoop,3
2022-01-13,Data modeling,3
2022-01-13,Tableau,2
2022-01-13,Excel,2
2022-01-13,Kotlin,2
2022-01-13,Data analysis,2
2022-01-13,MS Excel,2
2022-01-13,ETL,2
2022-01-13,SAS,2
2022-01-13,Linux,2
2022-01-13,SD-WAN,1
2022-01-13,Riverbeds,1
2022-01-13,Packeteers,1
2022-01-13,Hive,1
2022-01-13,Google Sheets,1
2022-01-13,Cloud,1
2022-01-13,Enterprise Architect,1
2022-01-13,BPMN,1
2022-01-13,UML,1
2022-01-13,Azure,1
2022-01-13,Amazon AWS,1
2022-01-13,Hadoop or Cloud solutions,1
2022-01-13,NIFI,1
2022-01-13,Unix / Linux scripting,1
2022-01-13,Relational databases / SQL,1
2022-01-13,Azure / AWS / GCP,1
2022-01-13,UNIX/LINUX,1
2022-01-13,Apache Big Data Stack,1
2022-01-13,GCP,1
2022-01-13,Python/SAS,1
2022-01-13,RDBMS,1
2022-01-13,MS SQL,1
2022-01-13,powerPoint,1
2022-01-13,Kubernetes,1
2022-01-13,Google Cloud,1
2022-01-13,Docker,1
2022-01-13,PySpark,1
2022-01-13,Bash,1
2022-01-13,OpenShift,1
2022-01-13,Shell Scripting,1
2022-01-14,SQL,37
2022-01-14,Python,19
2022-01-14,Java,9
2022-01-14,Big Data,8
2022-01-14,English,8
2022-01-14,Spark,7
2022-01-14,AWS,5
2022-01-14,Kafka,5
2022-01-14,R,5
2022-01-14,Scala,4
2022-01-14,Google Tag Manager,3
2022-01-14,Google Analytics,3
2022-01-14,Data,3
2022-01-14,Hadoop,3
2022-01-14,Data modeling,3
2022-01-14,Tableau,2
2022-01-14,Excel,2
2022-01-14,Kotlin,2
2022-01-14,Data analysis,2
2022-01-14,MS Excel,2
2022-01-14,ETL,2
2022-01-14,SAS,2
2022-01-14,Linux,2
2022-01-14,SD-WAN,1
2022-01-14,Riverbeds,1
2022-01-14,Packeteers,1
2022-01-14,Hive,1
2022-01-14,Google Sheets,1
2022-01-14,Cloud,1
2022-01-14,Enterprise Architect,1
2022-01-14,BPMN,1
2022-01-14,UML,1
2022-01-14,Azure,1
2022-01-14,Amazon AWS,1
2022-01-14,Hadoop or Cloud solutions,1
2022-01-14,NIFI,1
2022-01-14,Unix / Linux scripting,1
2022-01-14,Relational databases / SQL,1
2022-01-14,Azure / AWS / GCP,1
2022-01-14,UNIX/LINUX,1
2022-01-14,Apache Big Data Stack,1
2022-01-14,GCP,1
2022-01-14,Python/SAS,1
2022-01-14,RDBMS,1
2022-01-14,MS SQL,1
2022-01-14,powerPoint,1
2022-01-14,Kubernetes,1
2022-01-14,Google Cloud,1
2022-01-14,Docker,1
2022-01-14,PySpark,1
2022-01-14,Bash,1
2022-01-14,OpenShift,1
2022-01-14,Shell Scripting,1
2022-01-15,SQL,37
2022-01-15,Python,22
2022-01-15,Java,10
2022-01-15,Big Data,8
2022-01-15,Spark,7
2022-01-15,Hadoop,6
2022-01-15,English,6
2022-01-15,AWS,5
2022-01-15,Kafka,5
2022-01-15,R,5
2022-01-15,Scala,4
2022-01-15,Google Tag Manager,3
2022-01-15,Google Analytics,3
2022-01-15,Data,3
2022-01-15,Data modeling,3
2022-01-15,Excel,2
2022-01-15,Kotlin,2
2022-01-15,Data analysis,2
2022-01-15,MS Excel,2
2022-01-15,SAS,2
2022-01-15,Linux,2
2022-01-15,SD-WAN,1
2022-01-15,Riverbeds,1
2022-01-15,Packeteers,1
2022-01-15,Hive,1
2022-01-15,Google Sheets,1
2022-01-15,Cloud,1
2022-01-15,Enterprise Architect,1
2022-01-15,BPMN,1
2022-01-15,UML,1
2022-01-15,Tableau,1
2022-01-15,Azure,1
2022-01-15,Amazon AWS,1
2022-01-15,Hadoop or Cloud solutions,1
2022-01-15,NIFI,1
2022-01-15,Agile,1
2022-01-15,Azure / AWS / GCP,1
2022-01-15,UNIX/LINUX,1
2022-01-15,ETL,1
2022-01-15,Apache Big Data Stack,1
2022-01-15,GCP,1
2022-01-15,Python/SAS,1
2022-01-15,powerPoint,1
2022-01-15,Kubernetes,1
2022-01-15,Google Cloud,1
2022-01-15,Docker,1
2022-01-15,PySpark,1
2022-01-15,Bash,1
2022-01-15,OpenShift,1
2022-01-15,Shell Scripting,1
2022-01-16,SQL,34
2022-01-16,Python,22
2022-01-16,Java,10
2022-01-16,Big Data,8
2022-01-16,Spark,7
2022-01-16,Hadoop,6
2022-01-16,English,6
2022-01-16,Kafka,5
2022-01-16,R,5
2022-01-16,Scala,4
2022-01-16,Google Tag Manager,3
2022-01-16,Google Analytics,3
2022-01-16,Data modeling,3
2022-01-16,Excel,2
2022-01-16,Kotlin,2
2022-01-16,Data analysis,2
2022-01-16,AWS,2
2022-01-16,MS Excel,2
2022-01-16,SAS,2
2022-01-16,Linux,2
2022-01-16,SD-WAN,1
2022-01-16,Riverbeds,1
2022-01-16,Packeteers,1
2022-01-16,Hive,1
2022-01-16,Google Sheets,1
2022-01-16,Cloud,1
2022-01-16,Enterprise Architect,1
2022-01-16,BPMN,1
2022-01-16,UML,1
2022-01-16,Tableau,1
2022-01-16,Azure,1
2022-01-16,Amazon AWS,1
2022-01-16,Hadoop or Cloud solutions,1
2022-01-16,NIFI,1
2022-01-16,Agile,1
2022-01-16,Azure / AWS / GCP,1
2022-01-16,UNIX/LINUX,1
2022-01-16,ETL,1
2022-01-16,Apache Big Data Stack,1
2022-01-16,GCP,1
2022-01-16,Python/SAS,1
2022-01-16,powerPoint,1
2022-01-16,Kubernetes,1
2022-01-16,Google Cloud,1
2022-01-16,Docker,1
2022-01-16,PySpark,1
2022-01-16,Bash,1
2022-01-16,OpenShift,1
2022-01-16,Shell Scripting,1
2022-01-17,SQL,31
2022-01-17,Python,19
2022-01-17,Java,9
2022-01-17,Spark,7
2022-01-17,Big Data,7
2022-01-17,Hadoop,6
2022-01-17,English,6
2022-01-17,Kafka,5
2022-01-17,R,5
2022-01-17,Scala,4
2022-01-17,Google Tag Manager,3
2022-01-17,Google Analytics,3
2022-01-17,Data modeling,3
2022-01-17,Excel,2
2022-01-17,Kotlin,2
2022-01-17,Data analysis,2
2022-01-17,AWS,2
2022-01-17,MS Excel,2
2022-01-17,SAS,2
2022-01-17,Linux,2
2022-01-17,SD-WAN,1
2022-01-17,Riverbeds,1
2022-01-17,Packeteers,1
2022-01-17,Hive,1
2022-01-17,Google Sheets,1
2022-01-17,Cloud,1
2022-01-17,Enterprise Architect,1
2022-01-17,BPMN,1
2022-01-17,UML,1
2022-01-17,Tableau,1
2022-01-17,Amazon AWS,1
2022-01-17,Hadoop or Cloud solutions,1
2022-01-17,NIFI,1
2022-01-17,Agile,1
2022-01-17,Azure / AWS / GCP,1
2022-01-17,UNIX/LINUX,1
2022-01-17,ETL,1
2022-01-17,Apache Big Data Stack,1
2022-01-17,GCP,1
2022-01-17,Python/SAS,1
2022-01-17,powerPoint,1
2022-01-17,Kubernetes,1
2022-01-17,Google Cloud,1
2022-01-17,Docker,1
2022-01-17,PySpark,1
2022-01-17,Bash,1
2022-01-17,OpenShift,1
2022-01-17,Shell Scripting,1
2022-01-18,SQL,31
2022-01-18,Python,19
2022-01-18,Java,9
2022-01-18,Big Data,8
2022-01-18,Spark,7
2022-01-18,Hadoop,6
2022-01-18,English,6
2022-01-18,Kafka,5
2022-01-18,R,5
2022-01-18,Scala,4
2022-01-18,Google Tag Manager,3
2022-01-18,Google Analytics,3
2022-01-18,Data modeling,3
2022-01-18,Excel,2
2022-01-18,Kotlin,2
2022-01-18,Data analysis,2
2022-01-18,AWS,2
2022-01-18,MS Excel,2
2022-01-18,SAS,2
2022-01-18,Linux,2
2022-01-18,SD-WAN,1
2022-01-18,Riverbeds,1
2022-01-18,Packeteers,1
2022-01-18,Hive,1
2022-01-18,Google Sheets,1
2022-01-18,Cloud,1
2022-01-18,Enterprise Architect,1
2022-01-18,BPMN,1
2022-01-18,UML,1
2022-01-18,Tableau,1
2022-01-18,Amazon AWS,1
2022-01-18,Machine Learning,1
2022-01-18,Artificial Intelligence,1
2022-01-18,Hadoop or Cloud solutions,1
2022-01-18,NIFI,1
2022-01-18,Agile,1
2022-01-18,Azure / AWS / GCP,1
2022-01-18,UNIX/LINUX,1
2022-01-18,ETL,1
2022-01-18,Apache Big Data Stack,1
2022-01-18,GCP,1
2022-01-18,Python/SAS,1
2022-01-18,powerPoint,1
2022-01-18,Kubernetes,1
2022-01-18,Google Cloud,1
2022-01-18,Docker,1
2022-01-18,PySpark,1
2022-01-18,Bash,1
2022-01-18,OpenShift,1
2022-01-18,Shell Scripting,1
2022-01-19,SQL,31
2022-01-19,Python,19
2022-01-19,Java,9
2022-01-19,Big Data,8
2022-01-19,Spark,7
2022-01-19,Hadoop,6
2022-01-19,Kafka,5
2022-01-19,English,5
2022-01-19,R,5
2022-01-19,Scala,4
2022-01-19,Google Tag Manager,3
2022-01-19,Google Analytics,3
2022-01-19,Data modeling,3
2022-01-19,Kotlin,2
2022-01-19,Data analysis,2
2022-01-19,AWS,2
2022-01-19,MS Excel,2
2022-01-19,SAS,2
2022-01-19,Linux,2
2022-01-19,SD-WAN,1
2022-01-19,Riverbeds,1
2022-01-19,Packeteers,1
2022-01-19,Hive,1
2022-01-19,Google Sheets,1
2022-01-19,Excel,1
2022-01-19,Cloud,1
