active_date,skill_name,job_count,month_total
2022-07,Kibana,1,628
2022-07,SaaS,1,628
2022-07,Hadoop or Cloud solutions,1,628
2022-07,SharePoint,1,628
2022-07,NIFI,1,628
2022-07,UNIX/LINUX (Red Hat) RH 7.x,1,628
2022-07,Elasticsearch,1,628
2022-07,HTML5,1,628
2022-07,PHP 7.x,1,628
2022-07,Looker,1,628
2022-07,DBT,1,628
2022-07,People Management,1,628
2022-07,Microsoft Azure Cloud,1,628
2022-07,DevOps,1,628
2022-07,SQR,1,628
2022-07,4gl,1,628
2022-07,SAS,1,628
2022-07,VBA,1,628
2022-07,K8S,1,628
2022-07,Bash,1,628
2022-07,Shell Scripting,1,628
2022-07,Docker,1,628
2022-07,Airflow,1,628
2022-07,Apache Kafka,1,628
2022-07,Amazon AWS,1,628
2022-08,SQL,170,758
2022-08,Python,92,758
2022-08,Java,58,758
2022-08,PowerBI,48,758
2022-08,Spark,42,758
2022-08,R,32,758
2022-08,Scala,31,758
2022-08,Tableau,27,758
2022-08,ETL,26,758
2022-08,NoSQL,25,758
2022-08,DWH,23,758
2022-08,Hadoop,20,758
2022-08,Proactivity,19,758
2022-08,Machine Learning,19,758
2022-08,AWS,17,758
2022-08,Linux,10,758
2022-08,GCP,7,758
2022-08,Looker,6,758
2022-08,Communication Skills,6,758
2022-08,Kafka,4,758
2022-08,Golang,3,758
2022-08,Jenkins,3,758
2022-08,Cloud,3,758
2022-08,Hive,3,758
2022-08,E-commerce,3,758
2022-08,HDFS,3,758
2022-08,Excel,3,758
2022-08,Azure,3,758
2022-08,DBT,3,758
2022-08,BPMN,3,758
2022-08,Haddop,3,758
2022-08,Kubernetes,3,758
2022-08,Problem Solving,3,758
2022-08,Team Player,3,758
2022-08,Git,2,758
2022-08,Elasticsearch,2,758
2022-08,Microsoft Azure Cloud,2,758
2022-08,Apache Hadoop,1,758
2022-08,AB testing,1,758
2022-08,Presto,1,758
2022-08,Cloudera,1,758
2022-08,Kibana,1,758
2022-08,Hadoop or Cloud solutions,1,758
2022-08,UNIX/LINUX (Red Hat) RH 7.x,1,758
2022-08,EAM,1,758
2022-08,TOGAF,1,758
2022-08,GitFLow,1,758
2022-08,Hadoop ecosystem,1,758
2022-08,HTML5,1,758
2022-08,PHP 7.x,1,758
2022-08,People Management,1,758
2022-08,DevOps,1,758
2022-08,SQR,1,758
2022-08,4gl,1,758
2022-08,SAS,1,758
2022-08,VBA,1,758
2022-08,MS Office,1,758
2022-08,K8S,1,758
2022-08,Bash,1,758
2022-08,Shell Scripting,1,758
2022-08,NumPy,1,758
2022-08,DDI,1,758
2022-08,Docker,1,758
2022-08,Pandas,1,758
2022-08,Airflow,1,758
2022-09,SQL,137,652
2022-09,Python,68,652
2022-09,Scala,57,652
2022-09,Java,54,652
2022-09,PowerBI,49,652
2022-09,Spark,42,652
2022-09,R,31,652
2022-09,DWH,20,652
2022-09,Hadoop,19,652
2022-09,Team Player,19,652
2022-09,Proactivity,19,652
2022-09,Tableau,15,652
2022-09,GCP,12,652
2022-09,AWS,12,652
2022-09,Cloud,7,652
2022-09,Linux,7,652
2022-09,Excel,6,652
2022-09,Kafka,6,652
2022-09,Looker,6,652
2022-09,analiza,4,652
2022-09,Golang,3,652
2022-09,Jenkins,3,652
2022-09,Git,3,652
2022-09,Hive,3,652
2022-09,Statistics,3,652
2022-09,DBT,3,652
2022-09,NoSQL,3,652
2022-09,BI reporting,2,652
2022-09,Microsoft Azure Cloud,2,652
2022-09,VBA,2,652
2022-09,MS Office,2,652
2022-09,Applied Statistics,1,652
2022-09,AB testing,1,652
2022-09,Presto,1,652
2022-09,Cloudera,1,652
2022-09,ETL,1,652
2022-09,Kibana,1,652
2022-09,Problem Solving,1,652
2022-09,Mac OS,1,652
2022-09,Windows,1,652
2022-09,Hadoop or Cloud solutions,1,652
2022-09,Access,1,652
2022-09,UNIX/LINUX (Red Hat) RH 7.x,1,652
2022-09,Elasticsearch,1,652
2022-09,EAM,1,652
2022-09,TOGAF,1,652
2022-09,GitFLow,1,652
2022-09,Hadoop ecosystem,1,652
2022-09,HTML5,1,652
2022-09,PHP 7.x,1,652
2022-09,HDFS,1,652
2022-09,People Management,1,652
2022-09,DevOps,1,652
2022-09,A&VLP,1,652
2022-09,DAX,1,652
2022-09,K8S,1,652
2022-09,Bash,1,652
2022-09,mss office,1,652
2022-09,NumPy,1,652
2022-09,Oracle,1,652
2022-09,REST API,1,652
2022-09,DDI,1,652
2022-09,Pandas,1,652
2022-09,JIRA,1,652
2022-10,SQL,145,639
2022-10,Python,61,639
2022-10,Scala,44,639
2022-10,PowerBI,41,639
2022-10,Spark,40,639
2022-10,Tableau,33,639
2022-10,Hadoop,31,639
2022-10,Excel,26,639
2022-10,NoSQL,19,639
2022-10,Java,19,639
2022-10,SAP,19,639
2022-10,FICO,19,639
2022-10,Team Player,19,639
2022-10,Kafka,11,639
2022-10,SaaS,9,639
2022-10,R,9,639
2022-10,Looker,9,639
2022-10,GCP,8,639
2022-10,AWS,8,639
2022-10,Cloud,7,639
2022-10,Linux,6,639
2022-10,analiza,4,639
2022-10,Git,3,639
2022-10,Hive,3,639
2022-10,Statistics,3,639
2022-10,Problem Solving,3,639
2022-10,DBT,3,639
2022-10,BI reporting,2,639
2022-10,Microsoft Azure Cloud,2,639
2022-10,Cloudera,2,639
2022-10,MS Office,2,639
2022-10,ML models,1,639
2022-10,Applied Statistics,1,639
2022-10,AB testing,1,639
2022-10,MS Azure,1,639
2022-10,alteryx,1,639
2022-10,ETL,1,639
2022-10,Microsoft 365,1,639
2022-10,Kibana,1,639
2022-10,Mac OS,1,639
2022-10,Windows,1,639
2022-10,Apache Hadoop,1,639
2022-10,Access,1,639
2022-10,HTML5,1,639
2022-10,PHP 7.x,1,639
2022-10,DWH,1,639
2022-10,HDFS,1,639
