active_date,skill_name,job_count
2022-02-24,Spark,10
2022-02-24,Tableau,4
2022-02-24,Power BI,3
2022-02-24,Data,2
2022-02-25,Python,51
2022-02-25,SQL,39
2022-02-25,Java,38
2022-02-25,Scala,32
2022-02-25,Big Data,16
2022-02-25,English,12
2022-02-25,Spark,10
2022-02-25,Tableau,4
2022-02-25,Power BI,3
2022-02-25,Data,2
2022-02-26,Python,51
2022-02-26,SQL,39
2022-02-26,Java,38
2022-02-26,Scala,32
2022-02-26,Big Data,16
2022-02-26,English,12
2022-02-26,Spark,10
2022-02-26,Tableau,4
2022-02-26,Power BI,3
2022-02-26,Data,2
2022-02-27,Python,51
2022-02-27,SQL,39
2022-02-27,Java,38
2022-02-27,Scala,32
2022-02-27,Big Data,16
2022-02-27,English,12
2022-02-27,Spark,10
2022-02-27,Tableau,4
2022-02-27,Power BI,3
2022-02-27,Data,2
2022-02-28,Python,51
2022-02-28,SQL,39
2022-02-28,Java,38
2022-02-28,Scala,32
2022-02-28,Big Data,16
2022-02-28,English,12
2022-02-28,Spark,10
2022-02-28,Tableau,4
2022-02-28,Power BI,3
2022-02-28,Data,2
2022-03-01,Python,51
2022-03-01,SQL,40
2022-03-01,Java,38
2022-03-01,Scala,32
2022-03-01,Big Data,16
2022-03-01,English,12
2022-03-01,Spark,10
2022-03-01,Tableau,4
2022-03-01,Power BI,3
2022-03-01,Data,2
2022-03-02,Python,51
2022-03-02,Java,38
2022-03-02,SQL,32
2022-03-02,Scala,32
2022-03-02,Big Data,16
2022-03-02,English,12
2022-03-02,Spark,11
2022-03-02,Tableau,4
2022-03-02,Power BI,3
2022-03-02,Data,2
2022-03-03,Python,50
2022-03-03,Java,38
2022-03-03,Scala,32
2022-03-03,SQL,30
2022-03-03,Big Data,16
2022-03-03,Spark,12
2022-03-03,English,12
2022-03-03,Tableau,4
2022-03-03,Power BI,3
2022-03-03,Data,2
2022-03-04,Python,31
2022-03-04,SQL,27
2022-03-04,Java,20
2022-03-04,Scala,15
2022-03-04,Big Data,15
2022-03-04,Spark,13
2022-03-04,English,12
2022-03-04,Tableau,4
2022-03-04,Power BI,3
2022-03-04,Data,2
2022-03-05,Python,29
2022-03-05,SQL,27
2022-03-05,Java,20
2022-03-05,Scala,15
2022-03-05,Big Data,15
2022-03-05,Spark,13
2022-03-05,English,12
2022-03-05,Tableau,4
2022-03-05,Power BI,3
2022-03-05,Data,2
2022-03-06,Python,28
2022-03-06,SQL,27
2022-03-06,Java,20
2022-03-06,Scala,15
2022-03-06,Big Data,15
2022-03-06,Spark,13
2022-03-06,English,12
2022-03-06,Tableau,4
2022-03-06,Power BI,2
2022-03-06,Data,1
2022-03-07,Python,29
2022-03-07,SQL,28
2022-03-07,Java,20
2022-03-07,Scala,15
2022-03-07,Big Data,15
2022-03-07,Spark,13
2022-03-07,English,12
2022-03-07,Tableau,4
2022-03-07,Power BI,2
2022-03-07,Data,1
2022-03-08,SQL,37
2022-03-08,Python,31
2022-03-08,Java,20
2022-03-08,Scala,15
2022-03-08,Big Data,15
2022-03-08,Spark,13
2022-03-08,English,12
2022-03-08,Tableau,4
2022-03-08,Power BI,2
2022-03-08,Data,1
2022-03-09,SQL,37
2022-03-09,Python,30
2022-03-09,Java,20
2022-03-09,Scala,15
2022-03-09,Big Data,15
2022-03-09,Spark,13
2022-03-09,English,12
2022-03-09,Tableau,4
2022-03-09,Power BI,2
2022-03-09,Data,1
2022-03-10,SQL,39
2022-03-10,Python,29
2022-03-10,Java,20
2022-03-10,Scala,16
2022-03-10,Big Data,15
2022-03-10,Spark,14
2022-03-10,English,12
2022-03-10,Tableau,7
2022-03-10,Data,1
2022-03-10,Power BI,1
2022-03-11,SQL,47
2022-03-11,Python,36
2022-03-11,Java,21
2022-03-11,Scala,19
2022-03-11,Big Data,16
2022-03-11,Spark,14
2022-03-11,English,12
2022-03-11,Tableau,7
2022-03-11,Data,2
2022-03-11,Power BI,1
2022-03-12,SQL,46
2022-03-12,Python,33
2022-03-12,Java,21
2022-03-12,Scala,19
2022-03-12,Big Data,16
2022-03-12,Spark,14
2022-03-12,English,12
2022-03-12,Tableau,7
2022-03-12,Data,2
2022-03-12,Power BI,1
2022-03-13,SQL,46
2022-03-13,Python,33
2022-03-13,Java,21
2022-03-13,Scala,19
2022-03-13,Big Data,15
2022-03-13,Spark,14
2022-03-13,English,12
2022-03-13,Tableau,7
2022-03-13,Data,2
2022-03-13,Power BI,1
2022-03-14,SQL,46
2022-03-14,Python,33
2022-03-14,Java,21
2022-03-14,Scala,19
2022-03-14,Big Data,15
2022-03-14,Spark,14
2022-03-14,English,12
2022-03-14,Tableau,7
2022-03-14,Data,2
2022-03-14,Power BI,1
2022-03-15,SQL,48
2022-03-15,Python,31
2022-03-15,Scala,20
2022-03-15,Java,19
2022-03-15,Big Data,15
2022-03-15,Spark,14
2022-03-15,English,12
2022-03-15,Tableau,8
2022-03-15,Data,2
2022-03-15,Power BI,2
2022-03-16,SQL,45
2022-03-16,Python,31
2022-03-16,Java,26
2022-03-16,Scala,22
2022-03-16,Big Data,20
